Paul John	11	Paul John PX ; Paul John Bold ; Paul John Kanya ; Paul John Peated ; Paul John Classic ; Paul John Mithuna
Tamdhu	11	Tamdhu ; Tamdhu ; Tamdhu ; Tamdhu ; Tamdhu ; Tamdhu Ambar
Tobermory	11	Tobermory ; Tobermory ; Tobermory ; Tobermory ; Tobermory Core Range ; Tobermory Vintage 1996
William Lawson's	11	William Lawson's ; William Lawson's ; William Lawson's ; William Lawson's ; William Lawson's ; William Lawson's
Aberfeldy	10	Aberfeldy ; Aberfeldy ; Aberfeldy ; Aberfeldy ; Aberfeldy Cadillac ; Aberfeldy Gold Bar
Arlett	10	Arlett ; Arlett Tourbe ; Arlett Explorer ; Arlett Original ; Arlett FFD Mizunara ; Arlett FFD Rhum Barbade
Black Ram	10	Black Ram ; Black Ram ; Black Ram ; Black Ram ; Black Ram ; Black Ram Bourbon Finish
Dunville's	10	Dunville's PX ; Dunville's PX ; Dunville's 1808 ; Dunvilles Blend ; Dunvilles Oloroso ; Dunville's Dead Island
Glen Talloch	10	Glen Talloch ; Glen Talloch ; Glen Talloch ; Glen Talloch ; Glen Talloch ; Glen Talloch
Glen Turner	10	Glen Turner ; Glen Turner ; Glen Turner Heritage ; Glen Turner Double Cask ; Glen Turner Sherry Cask ; Glen Turner Triple Cask
Maltbarn	10	Tullibardine 2016 ; Maltbarn Ben Nevis 2012 ; Maltbarn Inchgower 1997 ; Maltbarn Glenburgie 2003 ; Maltbarn Islay Malt 2009 ; Maltbarn Blair Athol 1988
M H	10	Classic M&H Distillery ; M&H Elements Sherry Cask ; M&H Elements Red Wine Cask ; Elements Peated Malt M&H Distillery ; Elements Peated Malt M&H Distillery ; Elements Sherry Cask M&H Distillery
Mossburn	10	Mossburn Island ; Mossburn Speyside ; Mossburn №1 Vintage Casks ; Mossburn Vintage casks Glen spey ; Mossburn Vintage Casks №8 Dufftown ; Mossburn Vintage Casks №16 Mannochmore
Penderyn	10	Penderyn Celt ; Penderyn Myth ; Penderyn Legend ; Penderyn Peated ; Penderyn Hiraeth ; Penderyn Celt Wales
